epoch,train_loss_mse,train_loss_kl,train_loss_ce,train_loss_total,val_mse,val_loss_kl,val_loss_ce,val_total_loss,val_top1,val_top5
33,1.281504,0.867526,0.000000,1.368256,1.282395,1.025804,0.000000,1.384975,0.609562,0.907249
34,1.279678,0.858594,0.000000,1.365537,1.283273,1.029424,0.000000,1.386216,0.609458,0.907698
35,1.277876,0.856003,0.000000,1.363477,1.280069,1.046278,0.000000,1.384697,0.605972,0.906524
36,1.275665,0.848431,0.000000,1.360508,1.279593,1.017023,0.000000,1.381295,0.610148,0.908940
37,1.273723,0.843727,0.000000,1.358096,1.276968,1.017524,0.000000,1.378720,0.612047,0.909907
38,1.272181,0.835525,0.000000,1.355734,1.276625,1.022499,0.000000,1.378875,0.608423,0.907663
39,1.270836,0.831965,0.000000,1.354033,1.273277,1.009502,0.000000,1.374228,0.612289,0.910528
40,1.268874,0.827769,0.000000,1.351651,1.270053,1.029816,0.000000,1.373035,0.608284,0.908492
41,1.267235,0.820406,0.000000,1.349276,1.269582,1.012965,0.000000,1.370879,0.612461,0.911011
42,1.265746,0.816250,0.000000,1.347371,1.267463,1.015780,0.000000,1.369041,0.611564,0.907905
43,1.264037,0.811972,0.000000,1.345235,1.265864,1.010543,0.000000,1.366918,0.613324,0.910597
44,1.262459,0.807460,0.000000,1.343205,1.268541,1.002080,0.000000,1.368749,0.613842,0.910494
45,1.261390,0.802657,0.000000,1.341656,1.263117,0.998978,0.000000,1.363015,0.614118,0.911633
46,1.259801,0.798375,0.000000,1.339639,1.262536,0.996305,0.000000,1.362167,0.614291,0.911288
47,1.258442,0.794145,0.000000,1.337857,1.262157,1.000298,0.000000,1.362186,0.613911,0.910666
48,1.257131,0.790070,0.000000,1.336138,1.261655,0.979933,0.000000,1.359648,0.616017,0.913013
49,1.255711,0.784044,0.000000,1.334116,1.259896,0.992265,0.000000,1.359123,0.614532,0.910873
50,1.254631,0.782528,0.000000,1.332884,1.258324,0.992128,0.000000,1.357536,0.615154,0.911667
51,1.253266,0.777881,0.000000,1.331055,1.257947,0.990061,0.000000,1.356953,0.617225,0.912116
52,1.252084,0.773617,0.000000,1.329446,1.256327,0.984277,0.000000,1.354754,0.617156,0.911771
53,1.250824,0.770022,0.000000,1.327826,1.256202,0.992137,0.000000,1.355416,0.616396,0.912530
54,1.249647,0.767953,0.000000,1.326442,1.253781,0.979818,0.000000,1.351762,0.617673,0.912737
55,1.248579,0.763980,0.000000,1.324977,1.252516,0.985190,0.000000,1.351035,0.615292,0.911943
56,1.247437,0.760845,0.000000,1.323521,1.251574,0.973436,0.000000,1.348917,0.619814,0.914532
57,1.246376,0.756321,0.000000,1.322008,1.251395,0.970861,0.000000,1.348481,0.617466,0.913600
58,1.245606,0.752220,0.000000,1.320828,1.248720,0.987285,0.000000,1.347448,0.615257,0.912392
59,1.244619,0.749833,0.000000,1.319602,1.247924,0.974607,0.000000,1.345384,0.617812,0.913531
60,1.243544,0.745682,0.000000,1.318112,1.246902,0.966005,0.000000,1.343502,0.621436,0.915016
61,1.242624,0.741470,0.000000,1.316771,1.247082,0.971398,0.000000,1.344222,0.619020,0.914463
62,1.241557,0.737362,0.000000,1.315293,1.247197,0.976426,0.000000,1.344839,0.616638,0.912220
63,1.240907,0.735159,0.000000,1.314422,1.244252,0.968058,0.000000,1.341058,0.620884,0.914325
64,1.239857,0.733449,0.000000,1.313201,1.246223,0.966552,0.000000,1.342878,0.619814,0.914981
65,1.239173,0.729921,0.000000,1.312165,1.243798,0.961820,0.000000,1.339980,0.619745,0.915223
66,1.238262,0.725751,0.000000,1.310837,1.242615,0.959753,0.000000,1.338590,0.619089,0.914843
67,1.237534,0.724074,0.000000,1.309941,1.242231,0.962737,0.000000,1.338505,0.616983,0.914567
68,1.236866,0.720565,0.000000,1.308923,1.241769,0.972723,0.000000,1.339041,0.617812,0.913186
69,1.236185,0.717803,0.000000,1.307965,1.239533,0.963617,0.000000,1.335895,0.618605,0.913393
70,1.235666,0.713887,0.000000,1.307055,1.239109,0.957760,0.000000,1.334885,0.620090,0.914567
71,1.234747,0.712328,0.000000,1.305980,1.239048,0.953664,0.000000,1.334414,0.620435,0.914394
72,1.234083,0.709864,0.000000,1.305070,1.238336,0.961525,0.000000,1.334488,0.618985,0.914877
73,1.233504,0.705909,0.000000,1.304095,1.237715,0.961000,0.000000,1.333815,0.619089,0.913117
74,1.232703,0.703984,0.000000,1.303101,1.237126,0.951658,0.000000,1.332291,0.621436,0.916051
75,1.232249,0.701818,0.000000,1.302431,1.237762,0.963056,0.000000,1.334067,0.618778,0.914014
76,1.231693,0.698645,0.000000,1.301557,1.235972,0.951602,0.000000,1.331132,0.621022,0.915913
77,1.231114,0.697003,0.000000,1.300814,1.234505,0.963535,0.000000,1.330858,0.618571,0.914360
78,1.230752,0.694264,0.000000,1.300178,1.234563,0.959510,0.000000,1.330514,0.620159,0.915257
79,1.230152,0.692296,0.000000,1.299382,1.235099,0.949922,0.000000,1.330091,0.621367,0.916293
80,1.229712,0.688815,0.000000,1.298593,1.234450,0.946655,0.000000,1.329115,0.621160,0.915740
81,1.229278,0.687367,0.000000,1.298015,1.233148,0.956285,0.000000,1.328776,0.619952,0.915430
82,1.228802,0.685301,0.000000,1.297332,1.232316,0.952996,0.000000,1.327616,0.622299,0.915671
83,1.228441,0.682762,0.000000,1.296718,1.232052,0.954014,0.000000,1.327453,0.620331,0.915361
84,1.227903,0.680272,0.000000,1.295931,1.231524,0.953378,0.000000,1.326862,0.621022,0.915050
85,1.227343,0.678866,0.000000,1.295230,1.232168,0.944491,0.000000,1.326617,0.623473,0.916603
86,1.226986,0.675919,0.000000,1.294578,1.232155,0.951583,0.000000,1.327314,0.620469,0.916362
87,1.226569,0.674751,0.000000,1.294044,1.231363,0.941475,0.000000,1.325510,0.621850,0.916258
88,1.226327,0.672784,0.000000,1.293605,1.230807,0.950184,0.000000,1.325825,0.621885,0.915602
89,1.225872,0.670511,0.000000,1.292923,1.231470,0.942186,0.000000,1.325688,0.621540,0.916293
90,1.225756,0.669335,0.000000,1.292689,1.230150,0.946891,0.000000,1.324839,0.622748,0.916258
91,1.225288,0.666170,0.000000,1.291905,1.230231,0.941649,0.000000,1.324395,0.621816,0.916707
92,1.224927,0.665261,0.000000,1.291453,1.229965,0.938869,0.000000,1.323852,0.623990,0.917397
93,1.224740,0.663973,0.000000,1.291138,1.230175,0.937397,0.000000,1.323915,0.623818,0.916949
94,1.224717,0.661981,0.000000,1.290915,1.229466,0.939706,0.000000,1.323437,0.622402,0.916741
95,1.224227,0.660547,0.000000,1.290281,1.229578,0.939541,0.000000,1.323532,0.621470,0.916569
96,1.223984,0.658337,0.000000,1.289818,1.229002,0.936373,0.000000,1.322639,0.622955,0.917363
97,1.223885,0.657354,0.000000,1.289620,1.228871,0.938298,0.000000,1.322701,0.621954,0.917328
98,1.223552,0.656300,0.000000,1.289182,1.228661,0.939460,0.000000,1.322607,0.622955,0.916880
99,1.223289,0.654550,0.000000,1.288744,1.228294,0.938281,0.000000,1.322122,0.623714,0.917190
100,1.223296,0.652558,0.000000,1.288552,1.228479,0.936872,0.000000,1.322167,0.623887,0.917121
101,1.223112,0.652169,0.000000,1.288329,1.228410,0.933748,0.000000,1.321785,0.622644,0.917121
102,1.222912,0.651046,0.000000,1.288017,1.228136,0.937305,0.000000,1.321866,0.622541,0.916741
103,1.222765,0.649882,0.000000,1.287753,1.228118,0.935698,0.000000,1.321688,0.624681,0.917639
104,1.222680,0.649050,0.000000,1.287585,1.227908,0.934422,0.000000,1.321351,0.624232,0.917018
105,1.222406,0.647664,0.000000,1.287172,1.227676,0.938725,0.000000,1.321549,0.623473,0.917259
106,1.222258,0.646977,0.000000,1.286956,1.227882,0.933952,0.000000,1.321277,0.623162,0.917742
107,1.222172,0.645740,0.000000,1.286746,1.227464,0.934833,0.000000,1.320947,0.623956,0.916672
108,1.222113,0.645219,0.000000,1.286635,1.227436,0.934764,0.000000,1.320913,0.624612,0.917121
109,1.222038,0.644311,0.000000,1.286469,1.226994,0.937044,0.000000,1.320698,0.623852,0.917501
110,1.221905,0.643706,0.000000,1.286276,1.227136,0.935414,0.000000,1.320678,0.624163,0.917397
111,1.221954,0.642747,0.000000,1.286229,1.226917,0.938267,0.000000,1.320744,0.623438,0.916569
112,1.221758,0.642279,0.000000,1.285986,1.227252,0.934085,0.000000,1.320661,0.624888,0.917466
113,1.221722,0.641729,0.000000,1.285894,1.227065,0.934453,0.000000,1.320510,0.623611,0.917328
114,1.221842,0.641153,0.000000,1.285957,1.227174,0.933985,0.000000,1.320572,0.624163,0.917190
115,1.221622,0.640620,0.000000,1.285684,1.226842,0.935617,0.000000,1.320403,0.624336,0.916707
116,1.221633,0.640564,0.000000,1.285690,1.226918,0.934080,0.000000,1.320326,0.623714,0.917466
117,1.221602,0.640021,0.000000,1.285604,1.226861,0.935330,0.000000,1.320394,0.624197,0.916880
118,1.221518,0.639789,0.000000,1.285497,1.226810,0.935250,0.000000,1.320335,0.624059,0.917294
119,1.221539,0.639709,0.000000,1.285510,1.226896,0.933880,0.000000,1.320284,0.624336,0.917328
120,1.221471,0.639354,0.000000,1.285406,1.226858,0.934495,0.000000,1.320307,0.624474,0.917259
