epoch,corruption,train_l1,val_psnr,val_ssim,lr,epoch_time_sec
1,all,0.05131449809777525,30.401938155788542,0.8859852870823174,5e-05,6618.112665891647
2,all,0.03807847388285998,31.930461080559837,0.8967239049509443,5e-05,6609.218944549561
3,all,0.0340991122231648,32.072423590288814,0.9003772018947751,5e-05,6603.78985452652
4,all,0.03156750308892466,33.0125862059286,0.9053039212328918,5e-05,6620.15815281868
5,all,0.0296388138289494,32.3926645596436,0.9074536617243061,5e-05,6595.56888461113
6,all,0.028109940652863593,33.22489005049153,0.9098516073171788,5e-05,6558.419051885605
7,all,0.02697608514711264,33.69090953005818,0.9100260897543306,5e-05,6668.512962818146
8,all,0.026021798034195767,33.74962467570721,0.9113423890972039,5e-05,6590.698577404022
9,all,0.025275902175790715,33.58539692189362,0.9115413551006311,5e-05,6516.213017702103
10,all,0.024670311898203325,33.5505444107115,0.912695007698128,5e-05,6520.090272426605
11,all,0.024050210499307573,33.6284743428731,0.9140922563724256,5e-05,6675.804585933685
12,all,0.02342993503835516,33.94971256931476,0.914505867370458,5e-05,6517.206891536713
13,all,0.02302434292617981,34.133219027637644,0.9153453696516136,5e-05,6518.621108531952
14,all,0.022571481172753528,34.00633871480737,0.9155596396122302,5e-05,6515.682098388672
15,all,0.022323228860515153,34.13418679074104,0.9155895075539069,5e-05,6491.191878080368
16,all,0.021677939163215504,33.80857056249119,0.9151689977005867,5e-05,6530.958496332169
17,all,0.021804071599769107,33.96605844458934,0.9160858288059271,5e-05,6562.566448688507
18,all,0.021481386643634613,34.01516008249795,0.9173804711292863,5e-05,6541.14186835289
19,all,0.020921877019470358,34.28193768377746,0.9174705657204857,5e-05,6555.533251285553
20,all,0.020787561132113476,34.177912445061146,0.9144100973760008,5e-05,6595.604506254196
21,all,0.02068622061986111,33.01117680880413,0.9158514267815886,5e-05,6644.02866768837
22,all,0.020368621543775625,34.775291571421334,0.9179551830371029,5e-05,6624.475311517715
23,all,0.02040562156740596,34.323900122393,0.9177400755149807,5e-05,6558.9054043293
24,all,0.020167826298531286,35.018500289952314,0.9185630639112938,5e-05,6635.003554582596
25,all,0.019821041903763964,33.856597633002195,0.9190368356960934,5e-05,6600.584230422974
26,all,0.019768987662899685,34.38631096147772,0.9189055771880369,5e-05,6562.9144496917725
27,all,0.019754723239195394,34.71485768186455,0.9190652045134008,5e-05,6918.840842485428
28,all,0.019250308159220367,33.29627332365955,0.919152971301813,5e-05,6513.911835432053
29,all,0.01947605929858425,35.0109730463017,0.9192631175117243,5e-05,6523.709557294846
30,all,0.019185147641158383,34.07107598537797,0.919916325935134,5e-05,7310.145573139191
31,all,0.01902665148914716,34.97287277243246,0.9192673967185276,5e-05,6516.530486822128
32,all,0.018714920994549352,35.2660745451759,0.9201745401762281,5e-05,6517.456693649292
33,all,0.018803373431452976,34.65679224639438,0.9199632875713047,5e-05,6586.571584224701
34,all,0.0186023254019836,34.5912338029323,0.9203510460473906,5e-05,6533.318808794022
35,all,0.018502171508418288,34.206855015438336,0.9202299125140233,5e-05,6510.896600961685
36,all,0.018452789325233115,34.89194109330551,0.920539914176319,5e-05,10485.929628610611
