epoch,train_loss,val_loss,val_top1,val_top5,lr,epoch_time_sec
121,0.045820,0.047878,0.894546,0.998619,0.00006680,29.50
122,0.045772,0.047100,0.890576,0.998619,0.00006533,30.77
123,0.045757,0.049312,0.890404,0.998619,0.00006387,30.79
124,0.045688,0.048161,0.889886,0.998619,0.00006242,31.70
125,0.045866,0.047609,0.895236,0.998619,0.00006098,30.84
126,0.045398,0.047914,0.894201,0.998792,0.00005955,30.86
127,0.045100,0.048018,0.893165,0.998619,0.00005813,30.83
128,0.045088,0.046669,0.897308,0.998792,0.00005673,29.56
129,0.045378,0.046915,0.898516,0.998619,0.00005533,29.91
130,0.044760,0.047566,0.896272,0.998619,0.00005394,29.72
131,0.044818,0.046857,0.896099,0.998792,0.00005257,30.81
132,0.044717,0.046927,0.893856,0.998619,0.00005120,30.80
133,0.044599,0.048087,0.895582,0.998964,0.00004985,30.82
134,0.044378,0.046426,0.898171,0.998792,0.00004851,30.83
135,0.044532,0.046746,0.896445,0.998964,0.00004719,30.98
136,0.044041,0.046187,0.893856,0.998619,0.00004587,30.77
137,0.044147,0.047306,0.895927,0.998964,0.00004457,30.68
138,0.044132,0.046265,0.896790,0.998964,0.00004329,29.50
139,0.043999,0.047091,0.896099,0.998792,0.00004202,29.60
140,0.044184,0.046426,0.896099,0.998792,0.00004076,30.79
141,0.043937,0.046799,0.895409,0.998619,0.00003952,30.81
142,0.043558,0.046373,0.897825,0.998792,0.00003829,31.33
143,0.043694,0.046331,0.895236,0.998792,0.00003708,30.80
144,0.043618,0.046739,0.901622,0.998792,0.00003588,30.83
145,0.043551,0.045985,0.894719,0.998792,0.00003470,30.72
146,0.043396,0.046146,0.895754,0.998619,0.00003354,30.83
147,0.043317,0.045891,0.897135,0.998792,0.00003239,29.63
148,0.043284,0.046392,0.897998,0.998619,0.00003126,29.86
149,0.043154,0.047007,0.897825,0.998792,0.00003014,29.58
150,0.043154,0.045609,0.895236,0.998619,0.00002905,30.79
151,0.043106,0.046237,0.895754,0.998619,0.00002797,30.84
152,0.043111,0.046539,0.896790,0.998619,0.00002691,31.03
153,0.042971,0.045739,0.899033,0.998792,0.00002586,30.78
154,0.042877,0.045486,0.896272,0.998792,0.00002484,30.83
155,0.042795,0.045769,0.897135,0.998619,0.00002383,30.88
156,0.042682,0.045400,0.897480,0.998619,0.00002285,29.51
157,0.042657,0.045573,0.897998,0.998964,0.00002188,30.26
158,0.042543,0.045617,0.897135,0.998619,0.00002093,29.80
159,0.042535,0.045269,0.897653,0.998792,0.00002000,31.09
160,0.042473,0.045270,0.896790,0.998792,0.00001909,31.04
161,0.042472,0.045126,0.897998,0.998792,0.00001821,30.83
162,0.042410,0.045079,0.897135,0.998792,0.00001734,30.84
163,0.042339,0.045066,0.897308,0.998792,0.00001649,30.86
164,0.042296,0.045244,0.897825,0.998619,0.00001566,30.83
165,0.042230,0.044985,0.897480,0.998619,0.00001486,30.82
166,0.042158,0.045136,0.897825,0.998619,0.00001407,29.74
167,0.042131,0.045264,0.899033,0.998792,0.00001331,29.80
168,0.042114,0.044825,0.899206,0.998792,0.00001257,31.06
169,0.042020,0.044760,0.898516,0.998792,0.00001184,30.88
170,0.041996,0.044789,0.899206,0.998792,0.00001115,30.90
171,0.041987,0.044792,0.898343,0.998792,0.00001047,30.88
172,0.041909,0.044749,0.895927,0.998619,0.00000982,31.43
173,0.041864,0.044653,0.898171,0.998792,0.00000918,30.85
174,0.041840,0.044589,0.898343,0.998792,0.00000857,30.84
175,0.041805,0.044603,0.897135,0.998792,0.00000799,29.63
176,0.041780,0.044576,0.897653,0.998792,0.00000742,30.01
177,0.041740,0.044613,0.897308,0.998792,0.00000688,30.38
178,0.041702,0.044595,0.897998,0.998792,0.00000636,30.78
179,0.041701,0.044492,0.897135,0.998792,0.00000587,30.82
180,0.041665,0.044542,0.898688,0.998792,0.00000540,31.05
181,0.041647,0.044579,0.898343,0.998792,0.00000495,31.24
182,0.041617,0.044543,0.898171,0.998792,0.00000453,30.83
183,0.041583,0.044460,0.898861,0.998792,0.00000413,30.83
184,0.041567,0.044435,0.897480,0.998792,0.00000375,29.58
185,0.041549,0.044526,0.896962,0.998792,0.00000340,29.60
186,0.041524,0.044422,0.896445,0.998619,0.00000307,29.67
187,0.041523,0.044406,0.899033,0.998792,0.00000276,30.85
188,0.041487,0.044448,0.898343,0.998792,0.00000248,30.86
189,0.041487,0.044381,0.897308,0.998792,0.00000223,31.31
190,0.041462,0.044384,0.898861,0.998792,0.00000199,31.54
191,0.041455,0.044404,0.899206,0.998792,0.00000178,30.99
192,0.041444,0.044372,0.897653,0.998792,0.00000160,36.59
193,0.041425,0.044377,0.897480,0.998792,0.00000144,35.89
194,0.041429,0.044349,0.897653,0.998792,0.00000131,34.61
195,0.041417,0.044378,0.896790,0.998792,0.00000120,35.95
196,0.041403,0.044356,0.898516,0.998792,0.00000111,35.99
197,0.041393,0.044350,0.896790,0.998792,0.00000105,37.09
198,0.041401,0.044350,0.897825,0.998792,0.00000101,37.11
199,0.041398,0.044377,0.897308,0.998792,0.00000100,37.11
200,0.041389,0.044341,0.897480,0.998792,0.00000101,37.13
